Date,TGMV
2023-12-10,92762557.07
2023-12-11,111511305.2
2023-12-12,112773011.8
2023-12-13,110353487.9
2023-12-14,114620390.2
2023-12-15,110866077.0
2023-12-16,114321378.5
2023-12-17,119425102.0
2023-12-18,143930907.1
2023-12-19,147298290.5
2023-12-20,129254705.7
2023-12-21,98445200.74
2023-12-22,74617202.71
2023-12-23,57010147.15
2023-12-24,45375794.46
2023-12-25,48527309.76
2023-12-26,75384251.51
2023-12-27,79684634.12
2023-12-28,72917936.36
2023-12-29,61085630.34
2023-12-30,46854570.43
2023-12-31,37353320.69
2024-01-01,35343603.93
2024-01-02,64475850.54
2024-01-03,69246645.61
2024-01-04,63672621.21
2024-01-05,57512680.24
2024-01-06,51262313.37
2024-01-07,52556303.62
2024-01-08,58072683.5
2024-01-09,57231467.23
2024-01-10,58533873.91
2024-01-11,58847010.05
2024-01-12,56114798.21
2024-01-13,51185001.39
2024-01-14,51206983.62
2024-01-15,61084214.97
2024-01-16,61229165.53
2024-01-17,61226966.03
2024-01-18,57233043.22
2024-01-19,51759679.5
2024-01-20,48112383.74
2024-01-21,50605381.85
2024-01-22,55954429.41
2024-01-23,55980226.46
2024-01-24,53940650.98
2024-01-25,51236921.01
2024-01-26,48436158.02
2024-01-27,45121962.09
2024-01-28,48453292.78
2024-01-29,55882908.57
2024-01-30,56745630.54
2024-01-31,58308782.93
2024-02-01,58314726.03
2024-02-02,52359988.94
2024-02-03,47828653.09
2024-02-04,47896727.18
2024-02-05,56795968.98
2024-02-06,59577618.31
2024-02-07,63395719.57
2024-02-08,63943663.47
2024-02-09,60553518.15
2024-02-10,55507997.6
2024-02-11,57770224.09
2024-02-12,70206646.41
2024-02-13,62632251.53
2024-02-14,51094501.29
2024-02-15,53303812.27
2024-02-16,51676034.48
2024-02-17,48960820.27
2024-02-18,50796768.66
2024-02-19,54491790.71
2024-02-20,52751454.52
2024-02-21,52266722.56
2024-02-22,49943659.57
2024-02-23,45172419.9
2024-02-24,43204550.57
2024-02-25,43511955.9
2024-02-26,50871450.29
2024-02-27,51032308.39
2024-02-28,52882281.46
2024-02-29,52192302.33
2024-03-01,50731727.5
2024-03-02,48447392.54
2024-03-03,49603248.92
2024-03-04,54348127.55
2024-03-05,55024084.52
2024-03-06,55223437.44
2024-03-07,53171925.24
2024-03-08,48381576.38
2024-03-09,44392042.31
2024-03-10,48024641.45
2024-03-11,53812298.12
2024-03-12,54664704.72
2024-03-13,54256547.13
2024-03-14,52056827.16
2024-03-15,50497761.5
2024-03-16,45800320.67
2024-03-17,45284879.07
2024-03-18,53642882.99
2024-03-19,55979102.31
2024-03-20,49845623.2
2024-03-21,48411667.98
2024-03-22,44368332.44
2024-03-23,42754481.44
2024-03-24,44689366.73
2024-03-25,49302717.21
2024-03-26,47294795.94
2024-03-27,48212844.77
2024-03-28,44988917.77
2024-03-29,39995396.93
2024-03-30,36669967.47
2024-03-31,37888877.32
2024-04-01,48229351.4
2024-04-02,49841415.4
2024-04-03,49488782.25
2024-04-04,47878956.3
2024-04-05,45353397.25
2024-04-06,42330890.78
2024-04-07,44271675.47
2024-04-08,48020545.4
2024-04-09,50058268.96
2024-04-10,50259251.31
2024-04-11,50940483.69
2024-04-12,48061382.9
2024-04-13,45496249.53
2024-04-14,47503780.86
2024-04-15,55758409.06
2024-04-16,60347104.88
2024-04-17,56595967.37
2024-04-18,53819306.45
2024-04-19,48596499.48
2024-04-20,43553713.3
2024-04-21,46540200.22
2024-04-22,55665730.57
2024-04-23,56406067.33
2024-04-24,54216934.5
2024-04-25,51321835.39
2024-04-26,47968534.78
2024-04-27,44060683.59
2024-04-28,46131240.73
2024-04-29,55404415.69
2024-04-30,52675180.9
2024-05-01,60393801.29
2024-05-02,59398153.89
2024-05-03,56295636.23
2024-05-04,51489615.34
2024-05-05,54876322.12
2024-05-06,74056548.22
2024-05-07,77126862.78
2024-05-08,74830480.72
2024-05-09,66626196.01
2024-05-10,54311991.9
2024-05-11,48130814.13
2024-05-12,48725698.86
2024-05-13,54870069.42
2024-05-14,70152842.97
2024-05-15,129527877.0
2024-05-16,106874161.4
2024-05-17,87665062.4
2024-05-18,78680282.68
2024-05-19,80975783.6
2024-05-20,82138108.44
2024-05-21,80811640.51
2024-05-22,80366425.23
2024-05-23,89832117.9
2024-05-24,61595223.31
2024-05-25,42360422.52
2024-05-26,43185991.7
2024-05-27,49008391.67
2024-05-28,53124059.73
2024-05-29,53033929.68
2024-05-30,53298440.91
2024-05-31,51048664.12
2024-06-01,47494180.07
2024-06-02,46179948.83
2024-06-03,54361893.75
2024-06-04,60373160.02
2024-06-05,60325672.44
2024-06-06,59944053.97
2024-06-07,55990779.36
2024-06-08,52186824.35
2024-06-09,56324490.7
2024-06-10,69267676.22
2024-06-11,73935862.74
2024-06-12,76012972.8
2024-06-13,74566980.13
2024-06-14,71283260.29
2024-06-15,60909298.13
2024-06-16,58769579.57
2024-06-17,61626758.18
2024-06-18,61273686.2
2024-06-19,59033465.62
2024-06-20,58503862.72
2024-06-21,54800872.0
