Date,TGMV,plan
2023-11-08,56377722.69,56377722.69
2023-11-09,54801568.06,54801568.06
2023-11-10,51125080.73,51125080.73
2023-11-11,49453058.84,49453058.84
2023-11-12,55150495.36,55150495.36
2023-11-13,65423261.46,65423261.46
2023-11-14,67997046.92,67997046.92
2023-11-15,71492363.64,71492363.64
2023-11-16,88176708.08,88176708.08
2023-11-17,142404340.35,142404340.35
2023-11-18,120964860.75,120964860.75
2023-11-19,121595941.76,121595941.76
2023-11-20,150245763.43,150245763.43
2023-11-21,88875387.71,88875387.71
2023-11-22,66792882.53,66792882.53
2023-11-23,66107148.96,66107148.96
2023-11-24,78334102.1,78334102.1
2023-11-25,72148494.76,72148494.76
2023-11-26,75210506.06,75210506.06
2023-11-27,88635650.06,88635650.06
2023-11-28,74809250.87,74809250.87
2023-11-29,73437805.81,73437805.81
2023-11-30,72279946.84,72279946.84
2023-12-01,75948919.59,75948919.59
2023-12-02,67473133.16,67473133.16
2023-12-03,74368946.35,74368946.35
2023-12-04,90523754.42,90523754.42
2023-12-05,90092552.29,90092552.29
2023-12-06,95574477.95,95574477.95
2023-12-07,96842786.42,96842786.42
2023-12-08,91460119.12,91460119.12
2023-12-09,84904863.71,84904863.71
2023-12-10,92761754.67,92761754.67
2023-12-11,111510166.03,111510166.03
2023-12-12,112770497.6,112770497.6
2023-12-13,110350969.81,110350969.81
2023-12-14,114616654.0,114616654.0
2023-12-15,110865425.4,110865425.4
2023-12-16,114314914.96,114314914.96
2023-12-17,119422655.17,119422655.17
2023-12-18,143929211.48,143929211.48
2023-12-19,147292731.16,147292731.16
2023-12-20,129249521.72,129249521.72
2023-12-21,98444545.34,98444545.34
2023-12-22,74615237.91,74615237.91
2023-12-23,57006671.35,57006671.35
2023-12-24,45375509.66,45375509.66
2023-12-25,48524224.76,48524224.76
2023-12-26,75381434.71,75381434.71
2023-12-27,79682593.28,79682593.28
2023-12-28,72916895.76,72916895.76
2023-12-29,61085583.64,61085583.64
2023-12-30,46854570.43,46854570.43
2023-12-31,37353164.69,37353164.69
2024-01-01,35343404.93,35343404.93
2024-01-02,64473690.54,64473690.54
2024-01-03,69244185.61,69244185.61
