Date,TGMV
04/08/2024,54863645.49
05/08/2024,64247688.67
06/08/2024,66988752.69
07/08/2024,68814313.34
08/08/2024,65155262.71
09/08/2024,60148967.63
10/08/2024,56061222.81
11/08/2024,59783092.88
12/08/2024,68895185.93
13/08/2024,71287671.42
14/08/2024,73956290.93
15/08/2024,74475288.22
16/08/2024,68525267.26
17/08/2024,62392279.56
18/08/2024,66727951.34
19/08/2024,74887370.13
20/08/2024,76283323.82
21/08/2024,74939265.44
22/08/2024,70117103.75
23/08/2024,65464637.11
24/08/2024,56776176.96
25/08/2024,56296165.86
26/08/2024,57444159.84
27/08/2024,57292384.52
28/08/2024,57254275.84
29/08/2024,56160351.53
30/08/2024,52807554.17
31/08/2024,51834734.43
01/09/2024,55964687.30
02/09/2024,59339706.91
03/09/2024,61403214.19
04/09/2024,61822777.84
05/09/2024,60472135.24
06/09/2024,56346569.31
07/09/2024,53815048.88
08/09/2024,57754703.54
09/09/2024,62050301.43
10/09/2024,62777441.72
11/09/2024,58240147.53
12/09/2024,55306179.30
13/09/2024,52160548.87
14/09/2024,48582891.37
15/09/2024,46227486.01
16/09/2024,53517047.66
17/09/2024,58537113.31
18/09/2024,57938809.29
19/09/2024,57385111.48
20/09/2024,50725200.11
21/09/2024,47355411.18
22/09/2024,52343775.65
23/09/2024,57831212.18
24/09/2024,57967714.07
25/09/2024,55658649.12
26/09/2024,51550515.70
27/09/2024,51431796.84
28/09/2024,49414718.61
29/09/2024,52802294.81
30/09/2024,56596161.67
01/10/2024,64678063.15
02/10/2024,62246222.89
03/10/2024,56855798.20
04/10/2024,54127381.40
05/10/2024,51321697.33
06/10/2024,56257245.73
07/10/2024,62910214.29
08/10/2024,63237530.97
09/10/2024,62192596.05
10/10/2024,59144969.10
11/10/2024,56444519.63
12/10/2024,55422588.31
13/10/2024,57508094.30
14/10/2024,67888191.77
15/10/2024,69408469.90
16/10/2024,70612360.81
17/10/2024,66236344.99
18/10/2024,60009358.43
19/10/2024,55059065.99
20/10/2024,61057079.64
21/10/2024,69157812.97
22/10/2024,67705782.93
23/10/2024,66379083.47
24/10/2024,61038180.77
25/10/2024,54933371.27
26/10/2024,50848631.98
27/10/2024,54032152.50
28/10/2024,59565309.52
29/10/2024,60401031.65
30/10/2024,57554516.36
31/10/2024,51745820.68
01/11/2024,52141894.41
02/11/2024,50047915.02
03/11/2024,54729217.70
04/11/2024,65166056.85
05/11/2024,66924239.93
06/11/2024,69240590.40
07/11/2024,65843011.92
08/11/2024,63897621.36
09/11/2024,58934409.06
10/11/2024,61682790.31
11/11/2024,71937811.65
12/11/2024,74193861.90
13/11/2024,77390300.96
14/11/2024,90467027.58
15/11/2024,189839453.37
16/11/2024,179720262.85
17/11/2024,181701147.56
18/11/2024,202243464.43
19/11/2024,107658284.35
20/11/2024,70890682.21
21/11/2024,65498391.74
22/11/2024,61694328.69
23/11/2024,60906473.60
24/11/2024,66450525.86
25/11/2024,78598533.60
